X,Y,Z,azimuth,dip,polarity,formation
300.0,600.0,891.553,340.49,8.14,1,Shale
300.0,1400.0,877.897,199.51,8.14,1,Shale
600.0,1000.0,741.234,87.61,32.73,1,Shale
800.0,1000.0,626.774,86.15,21.77,1,Shale
1300.0,1000.0,576.353,275.02,17.02,1,Shale
1500.0,600.0,625.428,62.41,16.23,1,Shale
1500.0,1400.0,611.772,117.59,16.23,1,Shale
1750.0,1000.0,453.324,87.61,32.73,1,Shale
300.0,600.0,751.553,340.49,8.14,1,Sandstone
300.0,1400.0,737.897,199.51,8.14,1,Sandstone
600.0,1000.0,601.234,87.61,32.73,1,Sandstone
800.0,1000.0,486.774,86.15,21.77,1,Sandstone
1300.0,1000.0,436.353,275.02,17.02,1,Sandstone
1500.0,600.0,485.428,62.41,16.23,1,Sandstone
1500.0,1400.0,471.772,117.59,16.23,1,Sandstone
1750.0,1000.0,313.324,87.61,32.73,1,Sandstone
300.0,600.0,611.553,340.49,8.14,1,Claystone
300.0,1400.0,597.897,199.51,8.14,1,Claystone
600.0,1000.0,461.234,87.61,32.73,1,Claystone
800.0,1000.0,346.774,86.15,21.77,1,Claystone
1300.0,1000.0,296.353,275.02,17.02,1,Claystone
1500.0,600.0,345.428,62.41,16.23,1,Claystone
1500.0,1400.0,331.772,117.59,16.23,1,Claystone
1750.0,1000.0,173.324,87.61,32.73,1,Claystone
300.0,600.0,471.553,340.49,8.14,1,Limestone
300.0,1400.0,457.897,199.51,8.14,1,Limestone
600.0,1000.0,321.234,87.61,32.73,1,Limestone
800.0,1000.0,206.774,86.15,21.77,1,Limestone
1500.0,600.0,205.428,62.41,16.23,1,Limestone
1500.0,1400.0,191.772,117.59,16.23,1,Limestone
1096.631,500.0,400.0,90.0,65.0,1,Main_Fault
1050.0,1000.0,500.0,90.0,65.0,1,Main_Fault
1003.369,1500.0,600.0,90.0,65.0,1,Main_Fault
