X,Y,Z,formation
150.0,200.0,883.131,Shale
150.0,500.0,868.248,Shale
150.0,800.0,829.358,Shale
150.0,1100.0,814.476,Shale
150.0,1400.0,841.975,Shale
150.0,1700.0,877.904,Shale
350.0,200.0,917.645,Shale
350.0,500.0,902.763,Shale
350.0,800.0,863.873,Shale
350.0,1100.0,848.99,Shale
350.0,1400.0,876.49,Shale
350.0,1700.0,912.419,Shale
550.0,200.0,841.089,Shale
550.0,500.0,826.206,Shale
550.0,800.0,787.316,Shale
550.0,1100.0,772.434,Shale
550.0,1400.0,799.933,Shale
550.0,1700.0,835.863,Shale
750.0,200.0,718.392,Shale
750.0,500.0,703.509,Shale
750.0,800.0,664.619,Shale
750.0,1100.0,649.737,Shale
750.0,1400.0,677.236,Shale
750.0,1700.0,713.166,Shale
900.0,800.0,616.065,Shale
900.0,1100.0,601.183,Shale
1200.0,200.0,606.827,Shale
1200.0,500.0,591.944,Shale
1200.0,800.0,553.054,Shale
1200.0,1100.0,538.172,Shale
1200.0,1400.0,565.671,Shale
1200.0,1700.0,601.6,Shale
1400.0,200.0,663.438,Shale
1400.0,500.0,648.555,Shale
1400.0,800.0,609.665,Shale
1400.0,1100.0,594.783,Shale
1400.0,1400.0,622.282,Shale
1400.0,1700.0,658.212,Shale
1600.0,200.0,613.477,Shale
1600.0,500.0,598.594,Shale
1600.0,800.0,559.704,Shale
1600.0,1100.0,544.822,Shale
1600.0,1400.0,572.321,Shale
1600.0,1700.0,608.251,Shale
1800.0,200.0,490.78,Shale
1800.0,500.0,475.897,Shale
1800.0,800.0,437.007,Shale
1800.0,1100.0,422.125,Shale
1800.0,1400.0,449.624,Shale
1800.0,1700.0,485.554,Shale
150.0,200.0,743.131,Sandstone
150.0,500.0,728.248,Sandstone
150.0,800.0,689.358,Sandstone
150.0,1100.0,674.476,Sandstone
150.0,1400.0,701.975,Sandstone
150.0,1700.0,737.904,Sandstone
350.0,200.0,777.645,Sandstone
350.0,500.0,762.763,Sandstone
350.0,800.0,723.873,Sandstone
350.0,1100.0,708.99,Sandstone
350.0,1400.0,736.49,Sandstone
350.0,1700.0,772.419,Sandstone
550.0,200.0,701.089,Sandstone
550.0,500.0,686.206,Sandstone
550.0,800.0,647.316,Sandstone
550.0,1100.0,632.434,Sandstone
550.0,1400.0,659.933,Sandstone
550.0,1700.0,695.863,Sandstone
750.0,200.0,578.392,Sandstone
750.0,500.0,563.509,Sandstone
750.0,800.0,524.619,Sandstone
750.0,1100.0,509.737,Sandstone
750.0,1400.0,537.236,Sandstone
750.0,1700.0,573.166,Sandstone
900.0,200.0,529.838,Sandstone
900.0,500.0,514.955,Sandstone
900.0,800.0,476.065,Sandstone
900.0,1100.0,461.183,Sandstone
900.0,1400.0,488.682,Sandstone
900.0,1700.0,524.612,Sandstone
1200.0,200.0,466.827,Sandstone
1200.0,500.0,451.944,Sandstone
1200.0,800.0,413.054,Sandstone
1200.0,1100.0,398.172,Sandstone
1200.0,1400.0,425.671,Sandstone
1200.0,1700.0,461.6,Sandstone
1400.0,200.0,523.438,Sandstone
1400.0,500.0,508.555,Sandstone
1400.0,800.0,469.665,Sandstone
1400.0,1100.0,454.783,Sandstone
1400.0,1400.0,482.282,Sandstone
1400.0,1700.0,518.212,Sandstone
1600.0,200.0,473.477,Sandstone
1600.0,500.0,458.594,Sandstone
1600.0,800.0,419.704,Sandstone
1600.0,1100.0,404.822,Sandstone
1600.0,1400.0,432.321,Sandstone
1600.0,1700.0,468.251,Sandstone
1800.0,200.0,350.78,Sandstone
1800.0,500.0,335.897,Sandstone
1800.0,800.0,297.007,Sandstone
1800.0,1100.0,282.125,Sandstone
1800.0,1400.0,309.624,Sandstone
1800.0,1700.0,345.554,Sandstone
150.0,200.0,603.131,Claystone
150.0,500.0,588.248,Claystone
150.0,800.0,549.358,Claystone
150.0,1100.0,534.476,Claystone
150.0,1400.0,561.975,Claystone
150.0,1700.0,597.904,Claystone
350.0,200.0,637.645,Claystone
350.0,500.0,622.763,Claystone
350.0,800.0,583.873,Claystone
350.0,1100.0,568.99,Claystone
350.0,1400.0,596.49,Claystone
350.0,1700.0,632.419,Claystone
550.0,200.0,561.089,Claystone
550.0,500.0,546.206,Claystone
550.0,800.0,507.316,Claystone
550.0,1100.0,492.434,Claystone
550.0,1400.0,519.933,Claystone
550.0,1700.0,555.863,Claystone
750.0,200.0,438.392,Claystone
750.0,500.0,423.509,Claystone
750.0,800.0,384.619,Claystone
750.0,1100.0,369.737,Claystone
750.0,1400.0,397.236,Claystone
750.0,1700.0,433.166,Claystone
900.0,200.0,389.838,Claystone
900.0,500.0,374.955,Claystone
900.0,800.0,336.065,Claystone
900.0,1100.0,321.183,Claystone
900.0,1400.0,348.682,Claystone
900.0,1700.0,384.612,Claystone
1400.0,200.0,383.438,Claystone
1400.0,500.0,368.555,Claystone
1400.0,800.0,329.665,Claystone
1400.0,1100.0,314.783,Claystone
1400.0,1400.0,342.282,Claystone
1400.0,1700.0,378.212,Claystone
1600.0,200.0,333.477,Claystone
1600.0,500.0,318.594,Claystone
1600.0,800.0,279.704,Claystone
1600.0,1100.0,264.822,Claystone
1600.0,1400.0,292.321,Claystone
1600.0,1700.0,328.251,Claystone
1800.0,200.0,210.78,Claystone
1800.0,500.0,195.897,Claystone
1800.0,800.0,157.007,Claystone
1800.0,1100.0,142.125,Claystone
1800.0,1400.0,169.624,Claystone
1800.0,1700.0,205.554,Claystone
150.0,200.0,463.131,Limestone
150.0,500.0,448.248,Limestone
150.0,800.0,409.358,Limestone
150.0,1100.0,394.476,Limestone
150.0,1400.0,421.975,Limestone
150.0,1700.0,457.904,Limestone
350.0,200.0,497.645,Limestone
350.0,500.0,482.763,Limestone
350.0,800.0,443.873,Limestone
350.0,1100.0,428.99,Limestone
350.0,1400.0,456.49,Limestone
350.0,1700.0,492.419,Limestone
550.0,200.0,421.089,Limestone
550.0,500.0,406.206,Limestone
550.0,800.0,367.316,Limestone
550.0,1100.0,352.434,Limestone
550.0,1400.0,379.933,Limestone
550.0,1700.0,415.863,Limestone
750.0,200.0,298.392,Limestone
750.0,500.0,283.509,Limestone
750.0,800.0,244.619,Limestone
750.0,1100.0,229.737,Limestone
750.0,1400.0,257.236,Limestone
750.0,1700.0,293.166,Limestone
900.0,200.0,249.838,Limestone
900.0,500.0,234.955,Limestone
900.0,800.0,196.065,Limestone
