kind,severity,pixel_accuracy,macro_iou,boundary_f1,n_units_pred,n_contours_assigned,dem_mae_m,fault_detected,eval_s
none,0,0.9966702479338843,0.9678285368739585,0.99418379704314,6,71,4.987986087799072,True,3.9
noise,1,0.9967090909090909,0.9679442935393794,0.9946321068905454,6,71,4.985721588134766,True,3.5
noise,2,0.8928892561983471,0.745303115986319,0.54636460102212,11,71,4.979862213134766,True,4.8
noise,3,0.927998347107438,0.764608690292061,0.48554988276567534,10,71,4.988744735717773,True,4.7
noise,4,0.9723652892561984,0.7840680135400111,0.7143399070661486,9,71,4.9822096824646,True,5.8
blur,1,0.9967859504132232,0.9597564648631209,0.9935841891631011,6,70,4.991051197052002,True,3.9
blur,2,0.9828900826446281,0.9435355523165772,0.7819159967918908,8,71,5.032207489013672,True,4.1
blur,3,0.9340743801652892,0.758507492118913,0.6607631425194994,17,0,97.23035430908203,True,4.2
blur,4,0.7671561983471075,0.6354566195171272,0.12354974369092991,18,0,97.23035430908203,True,4.5
jpeg,1,0.9242776859504133,0.9137625032799622,0.46863207271850565,8,72,4.986937046051025,True,3.9
jpeg,2,0.8589247933884298,0.6896959495376203,0.335412106967668,10,71,4.989607334136963,True,4.1
jpeg,3,0.7677537190082645,0.6290641238095394,0.269767331662749,15,72,4.978332042694092,True,4.2
jpeg,4,0.8243578512396694,0.6498198218680517,0.3100130888670856,17,71,4.968769550323486,True,4.4
fade,1,0.9967652892561983,0.9691864784449994,0.9943661851928184,6,71,4.984395980834961,True,3.7
fade,2,0.9951297520661156,0.7900160735793945,0.975179884445776,6,0,97.23035430908203,True,4.1
fade,3,0.9684851239669422,0.7735721952144186,0.8353811684894666,6,0,97.23035430908203,False,3.8
fade,4,0.6675628099173554,0.5934849577711192,0.8420041653303274,7,0,97.23035430908203,False,3.7
illumination,1,0.996709917355372,0.9679351356574306,0.994662205572174,6,71,4.981731414794922,True,3.8
illumination,2,0.6224809917355372,0.5516119660345796,0.7600181706279857,9,71,5.005553722381592,True,3.9
illumination,3,0.4142743801652893,0.41282009199666775,0.5660284882727316,14,71,5.007913112640381,True,4.1
illumination,4,0.4387305785123967,0.36174350697483787,0.5491048578184144,18,70,5.639209270477295,True,4.4
line_break,1,0.9966628099173553,0.9678285816444634,0.9943344240188017,6,73,5.121377468109131,True,4.0
line_break,2,0.9966966942148761,0.9678679173094503,0.9944265342572844,6,83,5.304096698760986,True,4.3
line_break,3,0.9961925619834711,0.96475445184496,0.9912420934189337,6,83,5.7487335205078125,True,4.4
line_break,4,0.9952363636363636,0.9534538695293016,0.9859258753711716,7,86,6.818315505981445,False,4.7
stain,1,0.9612198347107438,0.9463629555759446,0.9144969044295264,8,71,4.987791538238525,True,3.9
stain,2,0.8287165289256199,0.6561963112957994,0.7782445857228316,13,71,4.988723278045654,True,4.0
stain,3,0.8667925619834711,0.8813587889743755,0.8370889845731592,12,71,4.988616943359375,True,4.2
stain,4,0.6498628099173553,0.567632149867777,0.7044294069655682,19,68,5.65650749206543,True,4.4
