cluster_id,contour_id,point_index,x,y
0,0,0,571,1192
0,0,1,557,1195
0,0,2,550,1202
0,0,3,544,1203
0,0,4,516,1230
0,0,5,502,1240
0,0,6,488,1244
0,0,7,488,1248
0,0,8,474,1258
0,0,9,458,1276
0,0,10,424,1337
0,0,11,427,1356
0,0,12,433,1369
0,0,13,430,1372
0,0,14,426,1370
0,0,15,416,1346
0,0,16,369,1368
0,0,17,343,1392
0,0,18,342,1398
0,0,19,326,1419
0,0,20,311,1448
0,0,21,311,1455
0,0,22,391,1455
0,0,23,440,1394
0,0,24,441,1390
0,0,25,433,1384
0,0,26,432,1377
0,0,27,437,1376
0,0,28,443,1386
0,0,29,454,1381
0,0,30,478,1343
0,0,31,522,1290
0,0,32,521,1281
0,0,33,535,1278
0,0,34,592,1233
0,0,35,588,1228
0,0,36,569,1231
0,0,37,558,1219
0,0,38,552,1219
0,0,39,538,1231
0,0,40,533,1229
0,0,41,547,1215
0,0,42,567,1203
0,0,43,573,1196
0,1,0,801,1106
0,1,1,792,1089
0,1,2,780,1076
0,1,3,777,1076
0,1,4,770,1067
0,1,5,766,1066
0,1,6,762,1072
0,1,7,743,1086
0,1,8,721,1098
0,1,9,715,1104
0,1,10,709,1106
0,1,11,699,1114
0,1,12,689,1118
0,1,13,672,1132
0,1,14,653,1142
0,1,15,633,1156
0,1,16,615,1164
0,1,17,608,1170
0,1,18,585,1182
0,1,19,584,1186
0,1,20,586,1191
0,1,21,582,1195
0,1,22,580,1201
0,1,23,582,1203
0,1,24,590,1204
0,1,25,601,1200
0,1,26,601,1198
0,1,27,590,1191
0,1,28,594,1186
0,1,29,604,1193
0,1,30,604,1197
0,1,31,610,1203
0,1,32,610,1216
0,1,33,614,1216
0,1,34,615,1206
0,1,35,621,1200
0,1,36,624,1204
0,1,37,623,1208
0,1,38,626,1211
0,1,39,647,1199
0,1,40,652,1194
0,1,41,675,1183
0,1,42,682,1177
0,1,43,690,1175
0,1,44,701,1164
0,1,45,709,1163
0,1,46,731,1154
0,1,47,768,1134
0,1,48,785,1121
0,1,49,794,1118
0,1,50,801,1111
0,2,0,279,906
0,2,1,270,905
0,2,2,240,916
0,2,3,226,926
0,2,4,227,935
0,2,5,224,939
0,2,6,205,948
0,2,7,195,948
0,2,8,184,953
0,2,9,149,953
0,2,10,132,948
0,2,11,112,952
0,2,12,102,963
0,2,13,92,988
0,2,14,64,1008
0,2,15,39,1047
0,2,16,6,1067
0,2,17,7,1134
0,2,18,39,1113
0,2,19,47,1104
0,2,20,55,1103
0,2,21,61,1098
0,2,22,72,1099
0,2,23,69,1104
0,2,24,56,1106
0,2,25,10,1140
0,2,26,6,1151
0,2,27,12,1151
0,2,28,70,1112
0,2,29,105,1093
0,2,30,153,1079
0,2,31,183,1055
0,2,32,199,1025
0,2,33,219,997
0,2,34,216,985
0,2,35,229,978
0,2,36,252,941
0,2,37,267,922
0,2,38,279,914
0,3,0,833,574
0,3,1,826,572
0,3,2,819,566
0,3,3,810,566
0,3,4,802,560
0,3,5,795,561
0,3,6,784,554
0,3,7,776,554
0,3,8,769,547
0,3,9,748,570
0,3,10,735,580
0,3,11,678,608
0,3,12,670,621
0,3,13,663,613
0,3,14,628,624
0,3,15,620,629
0,3,16,619,634
0,3,17,623,652
0,3,18,622,659
0,3,19,632,696
0,3,20,637,698
0,3,21,659,686
0,3,22,679,681
0,3,23,684,675
0,3,24,691,678
0,3,25,710,676
0,3,26,728,678
0,3,27,734,675
0,3,28,742,679
0,3,29,746,677
0,3,30,750,662
0,3,31,745,654
0,3,32,745,648
0,3,33,749,644
0,3,34,756,646
0,3,35,757,643
0,3,36,746,639
0,3,37,744,635
0,3,38,748,632
0,3,39,755,633
0,3,40,758,626
0,3,41,767,621
0,3,42,776,623
0,3,43,794,639
0,3,44,794,642
0,3,45,790,644
0,3,46,780,635
0,3,47,780,632
0,3,48,775,630
0,3,49,771,631
0,3,50,769,639
0,3,51,775,651
0,3,52,774,658
0,3,53,777,665
0,3,54,777,670
0,3,55,772,674
0,3,56,773,677
0,3,57,788,673
0,3,58,799,661
0,3,59,794,647
0,3,60,797,644
0,3,61,803,647
0,3,62,806,645
0,3,63,807,636
0,3,64,822,606
0,4,0,1653,534
0,4,1,1626,535
0,4,2,1625,520
0,4,3,1611,518
0,4,4,1571,553
0,4,5,1579,534
0,4,6,1524,566
0,4,7,1545,591
0,4,8,1515,572
0,4,9,1416,640
